tour;tour_len;related_starting_points
[12, 13, 6, 5, 10, 8, 9, 11, 15, 2, 1, 3, 4, 14, 7, 0];8183;11
[8, 10, 4, 3, 1, 2, 7, 0, 15, 11, 6, 12, 13, 14, 5, 9];7508;4
[2, 9, 6, 11, 15, 0, 7, 12, 13, 14, 5, 8, 10, 4, 3, 1];8306;7
[10, 4, 5, 6, 2, 1, 3, 7, 14, 13, 12, 11, 0, 15, 9, 8];7961;9
[5, 14, 3, 7, 0, 13, 12, 15, 2, 1, 4, 10, 8, 9, 11, 6];8354;2
[12, 6, 5, 13, 7, 0, 11, 9, 8, 10, 4, 14, 3, 1, 2, 15];7851;39
[1, 2, 15, 11, 6, 5, 4, 14, 13, 12, 7, 0, 9, 8, 10, 3];8484;2
[9, 15, 2, 1, 3, 4, 14, 7, 0, 13, 12, 11, 6, 5, 10, 8];8112;23
[12, 2, 1, 3, 4, 10, 8, 15, 0, 7, 14, 5, 6, 9, 11, 13];8494;1
[12, 15, 0, 7, 14, 4, 10, 8, 9, 2, 1, 3, 13, 5, 6, 11];7820;126
[2, 15, 9, 11, 0, 7, 12, 13, 14, 4, 10, 8, 5, 6, 3, 1];8120;3
[3, 7, 0, 11, 6, 9, 8, 10, 4, 14, 5, 13, 12, 15, 2, 1];7021;104
[3, 7, 0, 9, 8, 10, 4, 1, 2, 15, 11, 6, 5, 14, 13, 12];8437;2
[10, 8, 9, 0, 7, 13, 5, 6, 11, 12, 15, 2, 1, 3, 14, 4];7794;36
[2, 1, 3, 7, 0, 14, 13, 12, 11, 9, 8, 10, 4, 5, 6, 15];7143;109
[5, 6, 2, 1, 3, 12, 11, 9, 8, 10, 4, 14, 7, 0, 15, 13];8042;24
[10, 4, 14, 5, 6, 9, 11, 12, 13, 0, 7, 3, 1, 2, 15, 8];7298;136
[4, 15, 2, 1, 3, 14, 5, 13, 12, 7, 0, 11, 6, 9, 8, 10];8213;4
[1, 4, 10, 8, 9, 11, 12, 13, 0, 7, 3, 14, 5, 6, 15, 2];8431;5
[12, 11, 9, 8, 10, 4, 5, 6, 3, 1, 2, 15, 13, 14, 7, 0];8023;2
[14, 3, 7, 0, 13, 12, 11, 15, 1, 2, 6, 9, 8, 10, 4, 5];8175;6
[0, 9, 8, 10, 4, 14, 5, 6, 13, 3, 1, 2, 15, 11, 12, 7];7794;21
[15, 9, 11, 12, 13, 3, 1, 2, 6, 5, 8, 10, 4, 14, 7, 0];8152;1
[13, 14, 4, 10, 8, 5, 6, 7, 3, 1, 2, 9, 11, 15, 0, 12];8097;6
[14, 5, 6, 11, 9, 8, 10, 4, 0, 7, 3, 1, 2, 15, 12, 13];7296;39
[10, 11, 15, 0, 12, 13, 6, 5, 4, 14, 7, 3, 1, 2, 9, 8];8335;1
[8, 9, 15, 2, 1, 3, 7, 0, 11, 6, 5, 12, 13, 14, 4, 10];7009;572
[13, 6, 9, 8, 10, 4, 5, 14, 0, 7, 3, 1, 2, 15, 11, 12];7086;17
[3, 4, 10, 8, 0, 7, 12, 11, 9, 6, 5, 14, 13, 15, 2, 1];8498;2
[7, 3, 14, 4, 10, 8, 9, 11, 15, 1, 2, 6, 5, 13, 12, 0];8112;8
[0, 7, 12, 13, 14, 3, 1, 2, 9, 8, 10, 4, 5, 6, 11, 15];7787;64
[6, 11, 7, 0, 15, 9, 8, 10, 4, 5, 14, 3, 1, 2, 12, 13];8041;6
[15, 12, 13, 6, 5, 10, 8, 9, 11, 0, 7, 14, 4, 3, 1, 2];8203;1
[0, 7, 3, 12, 11, 9, 8, 10, 4, 14, 1, 2, 6, 5, 13, 15];8368;1
[2, 1, 4, 10, 8, 9, 5, 6, 11, 12, 0, 7, 3, 14, 13, 15];8357;2
[13, 12, 11, 0, 7, 14, 4, 10, 8, 2, 1, 3, 15, 9, 6, 5];8249;32
[6, 11, 15, 2, 1, 14, 4, 10, 8, 9, 0, 7, 3, 12, 13, 5];8155;16
[1, 3, 7, 9, 8, 10, 4, 14, 13, 12, 0, 15, 11, 5, 6, 2];8024;7
[2, 1, 4, 10, 8, 9, 6, 5, 14, 3, 7, 0, 13, 12, 11, 15];8211;14
[6, 5, 13, 0, 7, 3, 14, 4, 10, 8, 2, 1, 15, 12, 11, 9];8395;3
[12, 11, 9, 8, 10, 4, 3, 1, 2, 15, 6, 5, 14, 7, 0, 13];8080;82
[11, 6, 5, 14, 4, 10, 8, 9, 2, 1, 3, 7, 0, 15, 12, 13];6909;697
[14, 5, 6, 11, 13, 12, 2, 1, 3, 4, 10, 8, 9, 15, 0, 7];8055;26
[2, 9, 8, 10, 4, 14, 3, 7, 0, 15, 11, 12, 13, 5, 6, 1];8101;8
[0, 15, 12, 11, 9, 2, 1, 3, 13, 6, 5, 8, 10, 4, 14, 7];8064;2
[9, 6, 5, 14, 13, 0, 7, 3, 4, 10, 8, 2, 1, 15, 12, 11];8652;1
[13, 12, 15, 2, 1, 3, 4, 10, 8, 9, 6, 11, 0, 7, 14, 5];8104;4
[5, 4, 10, 8, 9, 2, 1, 15, 12, 13, 14, 3, 7, 0, 11, 6];7990;6
[3, 1, 2, 6, 5, 13, 12, 0, 15, 11, 9, 8, 10, 4, 14, 7];7949;15
[8, 10, 4, 3, 1, 2, 9, 6, 11, 13, 12, 15, 0, 7, 14, 5];8307;6
[1, 2, 15, 14, 13, 12, 11, 6, 5, 4, 10, 8, 9, 0, 7, 3];7138;33
[2, 15, 13, 14, 4, 10, 8, 9, 5, 6, 11, 12, 0, 7, 3, 1];6923;1121
[1, 3, 4, 10, 8, 9, 0, 7, 12, 13, 14, 5, 6, 11, 15, 2];8021;37
[10, 8, 9, 15, 0, 7, 2, 1, 3, 14, 13, 12, 11, 6, 5, 4];7085;105
[4, 10, 8, 9, 13, 14, 3, 1, 2, 7, 0, 15, 12, 11, 6, 5];7256;22
[8, 10, 4, 7, 3, 1, 2, 0, 15, 13, 14, 5, 6, 12, 11, 9];7463;15
[5, 6, 9, 15, 0, 7, 14, 13, 12, 11, 3, 1, 2, 8, 10, 4];8269;1
[12, 11, 6, 13, 14, 7, 3, 1, 2, 8, 10, 4, 5, 9, 15, 0];8485;1
[9, 8, 10, 4, 14, 13, 12, 7, 0, 11, 6, 5, 3, 1, 2, 15];7883;56
[4, 1, 2, 15, 13, 6, 5, 14, 3, 7, 0, 12, 11, 9, 8, 10];8412;2
[4, 14, 7, 0, 15, 11, 12, 13, 3, 1, 2, 6, 5, 9, 8, 10];7863;55
[14, 13, 12, 6, 11, 0, 7, 3, 1, 2, 15, 4, 10, 8, 9, 5];7530;1
[2, 12, 11, 6, 5, 4, 10, 8, 9, 15, 0, 7, 13, 14, 3, 1];7880;10
[8, 10, 4, 3, 1, 2, 7, 0, 15, 6, 5, 14, 13, 12, 11, 9];7427;47
[5, 6, 9, 15, 3, 1, 2, 8, 10, 4, 7, 0, 11, 12, 13, 14];8530;5
[8, 10, 4, 5, 9, 11, 15, 0, 7, 12, 13, 6, 14, 3, 1, 2];8518;1
[10, 4, 5, 6, 14, 7, 3, 1, 2, 0, 15, 12, 13, 11, 9, 8];7171;85
[3, 14, 5, 6, 11, 13, 12, 15, 2, 1, 4, 10, 8, 9, 0, 7];8373;2
[7, 0, 15, 12, 13, 11, 6, 9, 2, 1, 3, 4, 10, 8, 5, 14];8307;5
[5, 4, 10, 8, 9, 2, 1, 3, 12, 13, 6, 11, 15, 0, 7, 14];8015;7
[12, 15, 0, 7, 14, 5, 4, 10, 8, 2, 1, 3, 13, 6, 9, 11];8478;2
[1, 3, 7, 6, 5, 14, 4, 10, 8, 9, 11, 13, 12, 15, 0, 2];7128;57
[5, 6, 13, 12, 11, 15, 0, 7, 2, 1, 3, 14, 9, 8, 10, 4];7307;4
[2, 1, 15, 12, 13, 6, 5, 8, 10, 4, 14, 3, 7, 0, 11, 9];8181;3
[6, 13, 14, 7, 0, 12, 11, 9, 15, 2, 1, 3, 4, 10, 8, 5];8293;1
[1, 3, 13, 12, 11, 0, 7, 14, 5, 4, 10, 8, 9, 6, 15, 2];7961;15
[3, 7, 11, 5, 6, 2, 1, 12, 13, 14, 4, 10, 8, 9, 15, 0];8282;1
[8, 9, 0, 7, 13, 14, 3, 1, 2, 15, 12, 11, 6, 5, 4, 10];7847;14
[15, 0, 2, 1, 3, 7, 14, 4, 10, 8, 5, 6, 13, 12, 11, 9];7267;17
[8, 10, 4, 7, 0, 15, 13, 14, 5, 6, 11, 12, 3, 1, 2, 9];8128;8
[13, 7, 0, 15, 10, 8, 9, 2, 1, 3, 14, 4, 5, 6, 11, 12];8371;24
[2, 9, 6, 14, 5, 8, 10, 4, 3, 7, 0, 13, 12, 11, 15, 1];8517;2
[8, 2, 1, 3, 15, 9, 11, 12, 13, 0, 7, 14, 6, 5, 4, 10];8453;1
[2, 1, 3, 14, 13, 12, 6, 5, 4, 10, 8, 9, 11, 15, 0, 7];7196;61
[14, 6, 5, 4, 10, 8, 9, 15, 2, 1, 3, 13, 12, 11, 0, 7];7841;22
[9, 8, 10, 4, 5, 6, 15, 0, 7, 2, 1, 3, 14, 13, 12, 11];7223;34
[5, 4, 10, 8, 2, 1, 3, 7, 14, 13, 12, 0, 15, 11, 9, 6];8249;2
[1, 3, 4, 14, 7, 0, 15, 12, 13, 11, 6, 5, 10, 8, 9, 2];8162;10
[9, 6, 11, 12, 15, 0, 2, 1, 3, 7, 13, 5, 14, 4, 10, 8];7129;13
[15, 13, 14, 5, 6, 9, 11, 12, 7, 0, 8, 10, 4, 3, 1, 2];8498;2
[14, 13, 12, 11, 7, 0, 15, 9, 6, 5, 4, 10, 8, 2, 1, 3];8196;11
[1, 2, 15, 8, 10, 4, 14, 13, 5, 6, 9, 11, 12, 0, 7, 3];7405;32
[2, 15, 11, 12, 13, 6, 5, 14, 4, 10, 8, 9, 0, 7, 3, 1];6943;204
[5, 4, 10, 8, 9, 11, 12, 15, 0, 7, 2, 1, 3, 14, 13, 6];7192;60
[0, 7, 14, 5, 6, 11, 13, 12, 2, 1, 3, 4, 10, 8, 9, 15];8055;19
[4, 14, 13, 12, 0, 15, 11, 6, 5, 7, 3, 1, 2, 9, 8, 10];7872;262
[7, 12, 13, 5, 14, 3, 1, 2, 15, 4, 10, 8, 9, 6, 11, 0];8213;6
[15, 2, 1, 3, 5, 6, 11, 7, 0, 9, 8, 10, 4, 14, 13, 12];7965;24
[14, 7, 0, 11, 9, 8, 10, 4, 5, 6, 3, 1, 2, 15, 12, 13];7995;7
[6, 5, 9, 8, 10, 4, 3, 1, 2, 15, 13, 14, 7, 0, 12, 11];8006;10
[15, 0, 2, 1, 3, 7, 4, 10, 8, 9, 11, 6, 5, 14, 13, 12];7365;28
[13, 12, 7, 0, 15, 11, 10, 8, 9, 2, 1, 3, 14, 4, 5, 6];8315;3
[10, 8, 9, 11, 12, 13, 6, 5, 14, 7, 0, 15, 2, 1, 3, 4];7366;66
[4, 14, 5, 6, 9, 11, 13, 12, 2, 1, 3, 7, 0, 15, 8, 10];7411;18
[2, 1, 3, 7, 0, 12, 6, 5, 14, 13, 11, 9, 8, 10, 4, 15];7444;13
[11, 9, 6, 5, 4, 10, 8, 2, 1, 3, 7, 14, 13, 12, 0, 15];8249;1
[4, 10, 8, 2, 1, 15, 12, 13, 14, 5, 6, 9, 11, 0, 7, 3];8636;2
[12, 13, 14, 5, 8, 10, 4, 7, 3, 1, 2, 9, 6, 11, 15, 0];8350;3
[10, 8, 2, 1, 3, 13, 12, 11, 9, 15, 0, 7, 14, 6, 5, 4];8389;1
[6, 11, 0, 7, 12, 13, 14, 3, 1, 2, 15, 5, 4, 10, 8, 9];8013;2
[11, 6, 13, 12, 0, 7, 14, 5, 9, 8, 10, 4, 3, 1, 2, 15];8121;18
[6, 13, 12, 0, 7, 14, 4, 3, 1, 2, 15, 11, 9, 8, 10, 5];8183;14
[5, 14, 4, 10, 8, 9, 11, 12, 15, 2, 1, 3, 7, 0, 13, 6];6966;365
[7, 0, 11, 6, 5, 9, 15, 3, 1, 2, 8, 10, 4, 14, 13, 12];8281;13
[7, 12, 13, 14, 5, 6, 8, 10, 4, 3, 1, 2, 9, 11, 15, 0];8274;2
[2, 15, 12, 13, 14, 3, 7, 0, 11, 6, 5, 9, 8, 10, 4, 1];8329;1
[15, 2, 1, 3, 14, 4, 10, 8, 9, 0, 7, 13, 5, 6, 11, 12];7794;24
[12, 13, 7, 0, 15, 2, 1, 3, 14, 6, 5, 4, 10, 8, 9, 11];7179;106
[4, 3, 1, 2, 9, 6, 11, 15, 0, 7, 12, 13, 14, 5, 8, 10];8306;8
[8, 9, 0, 7, 11, 6, 12, 13, 14, 3, 1, 2, 15, 5, 4, 10];8227;2
[12, 15, 0, 2, 1, 3, 7, 14, 5, 4, 10, 8, 9, 6, 11, 13];7153;127
[2, 1, 3, 7, 0, 11, 6, 5, 9, 8, 10, 4, 14, 13, 12, 15];6895;679
[3, 14, 4, 10, 8, 9, 2, 1, 15, 6, 5, 13, 12, 11, 0, 7];8014;45
[4, 10, 8, 9, 15, 2, 1, 3, 7, 0, 13, 12, 11, 6, 5, 14];6859;1326
[2, 15, 11, 12, 13, 6, 5, 4, 14, 7, 0, 9, 8, 10, 3, 1];8489;2
[13, 6, 5, 10, 8, 9, 11, 15, 2, 1, 3, 4, 14, 7, 0, 12];8183;11
[6, 13, 12, 3, 1, 2, 9, 8, 10, 4, 5, 14, 7, 0, 15, 11];8015;8
[12, 13, 3, 1, 2, 15, 0, 7, 14, 4, 10, 8, 9, 5, 6, 11];7038;71
[3, 1, 2, 15, 14, 5, 6, 11, 12, 13, 7, 0, 9, 8, 10, 4];8096;6
[12, 13, 5, 6, 15, 0, 7, 2, 1, 3, 14, 4, 10, 8, 9, 11];7170;211
[9, 11, 12, 13, 14, 3, 1, 2, 7, 0, 15, 8, 10, 4, 5, 6];7524;34
[3, 1, 2, 9, 8, 10, 4, 14, 13, 12, 5, 6, 11, 15, 0, 7];7033;579
[12, 11, 6, 5, 14, 13, 9, 8, 10, 4, 3, 1, 2, 7, 0, 15];7460;34
[15, 2, 1, 14, 4, 10, 8, 9, 0, 7, 3, 12, 13, 5, 6, 11];8155;14
[11, 6, 5, 14, 3, 1, 2, 15, 4, 10, 8, 9, 0, 7, 13, 12];8119;3
[2, 15, 12, 11, 6, 5, 13, 7, 0, 9, 8, 10, 4, 14, 3, 1];7794;37
[5, 6, 13, 12, 7, 0, 11, 9, 15, 2, 1, 3, 14, 4, 10, 8];7954;8
[10, 8, 9, 11, 12, 13, 14, 5, 6, 15, 0, 2, 1, 3, 7, 4];7442;18
[3, 1, 2, 8, 10, 4, 14, 13, 12, 7, 0, 15, 9, 5, 6, 11];8248;37
[0, 15, 4, 10, 8, 9, 11, 12, 13, 14, 5, 6, 2, 1, 3, 7];7530;6
[8, 9, 15, 2, 1, 3, 13, 6, 11, 12, 0, 7, 14, 5, 4, 10];7992;14
[9, 8, 10, 4, 3, 1, 2, 12, 13, 14, 5, 6, 11, 7, 0, 15];8082;9
[2, 1, 3, 14, 5, 4, 10, 8, 9, 15, 0, 7, 11, 6, 13, 12];8041;5
[4, 10, 8, 5, 14, 13, 12, 11, 15, 0, 7, 6, 9, 2, 1, 3];8410;2
[9, 0, 7, 3, 14, 13, 12, 11, 15, 1, 2, 6, 5, 4, 10, 8];8178;7
[14, 7, 3, 1, 2, 9, 8, 10, 11, 15, 0, 12, 13, 6, 5, 4];8335;1
[7, 14, 13, 12, 0, 15, 11, 9, 6, 5, 4, 10, 8, 2, 1, 3];8249;2
[10, 4, 14, 5, 13, 12, 7, 0, 11, 6, 9, 15, 3, 1, 2, 8];8407;1
[12, 11, 15, 0, 7, 4, 10, 8, 5, 14, 13, 6, 9, 2, 1, 3];8441;1
[11, 6, 9, 2, 1, 3, 4, 10, 8, 5, 14, 13, 12, 7, 0, 15];8306;1
[4, 10, 8, 6, 5, 14, 13, 12, 15, 1, 2, 9, 11, 0, 7, 3];8477;1
[13, 5, 6, 9, 7, 3, 1, 2, 8, 10, 4, 14, 0, 15, 11, 12];8263;2
[3, 1, 2, 15, 11, 9, 6, 5, 12, 13, 14, 4, 10, 8, 0, 7];7492;17
[9, 8, 10, 4, 14, 5, 13, 12, 7, 3, 1, 2, 0, 15, 11, 6];7099;37
[8, 9, 11, 12, 13, 0, 7, 3, 14, 5, 6, 15, 2, 1, 4, 10];8431;9
[0, 15, 12, 13, 14, 5, 6, 11, 9, 8, 10, 4, 7, 3, 1, 2];7365;23
[10, 4, 5, 14, 3, 7, 0, 13, 12, 15, 1, 2, 11, 6, 9, 8];8102;4
[7, 0, 15, 9, 5, 4, 10, 8, 2, 1, 3, 14, 13, 12, 6, 11];8497;1
[5, 8, 10, 4, 3, 1, 2, 15, 11, 12, 13, 6, 9, 0, 7, 14];8341;1
[10, 8, 9, 6, 3, 1, 2, 15, 11, 12, 13, 0, 7, 14, 5, 4];7985;17
[0, 15, 12, 13, 11, 9, 8, 10, 4, 3, 1, 2, 6, 5, 14, 7];8187;21
[7, 0, 15, 11, 12, 13, 14, 5, 6, 9, 8, 10, 4, 3, 1, 2];7207;429
[9, 5, 6, 11, 12, 13, 0, 7, 3, 1, 2, 15, 14, 4, 10, 8];6956;372
[4, 10, 8, 9, 7, 3, 1, 2, 0, 15, 11, 6, 5, 12, 13, 14];7188;164
[13, 3, 1, 2, 15, 8, 10, 4, 5, 14, 7, 0, 12, 11, 9, 6];8431;1
[10, 8, 9, 6, 15, 2, 1, 3, 7, 0, 11, 12, 13, 5, 14, 4];7098;116
[15, 0, 2, 1, 3, 7, 14, 4, 10, 8, 9, 5, 6, 11, 13, 12];6974;370
[6, 5, 4, 10, 8, 9, 11, 12, 13, 14, 0, 7, 3, 1, 2, 15];7143;98
[5, 6, 13, 12, 11, 15, 2, 1, 4, 10, 8, 9, 0, 7, 3, 14];8377;3
[2, 8, 10, 4, 14, 7, 0, 15, 12, 11, 9, 6, 5, 13, 3, 1];8262;9
[3, 1, 2, 0, 15, 9, 11, 12, 13, 6, 5, 8, 10, 4, 14, 7];7267;14
[6, 13, 12, 15, 2, 1, 4, 10, 8, 9, 5, 14, 3, 7, 0, 11];8492;3
[7, 11, 6, 12, 13, 14, 3, 1, 2, 5, 4, 10, 8, 9, 15, 0];8259;1
[6, 11, 15, 2, 1, 4, 10, 8, 9, 0, 7, 3, 12, 13, 14, 5];8437;3
[5, 14, 13, 0, 7, 3, 4, 10, 8, 9, 2, 1, 15, 12, 11, 6];8210;8
[9, 11, 12, 15, 0, 7, 3, 1, 2, 8, 10, 4, 14, 13, 5, 6];7452;54
[5, 10, 8, 9, 11, 12, 0, 7, 14, 4, 3, 1, 2, 15, 13, 6];8231;3
[3, 1, 2, 15, 8, 10, 4, 14, 5, 6, 9, 11, 12, 13, 0, 7];7298;146
[10, 8, 5, 14, 13, 12, 15, 2, 1, 3, 11, 6, 9, 0, 7, 4];8461;1
[11, 9, 8, 10, 4, 14, 13, 15, 2, 1, 3, 5, 6, 12, 7, 0];8042;7
[9, 5, 14, 7, 0, 12, 13, 6, 11, 15, 2, 1, 3, 4, 10, 8];8121;19
[13, 14, 5, 6, 11, 7, 0, 9, 8, 10, 4, 3, 1, 2, 15, 12];8049;21
[7, 14, 13, 12, 11, 6, 5, 4, 10, 8, 9, 15, 0, 2, 1, 3];7076;77
[5, 6, 12, 15, 2, 1, 3, 14, 4, 10, 8, 9, 11, 0, 7, 13];7851;38
[7, 2, 1, 3, 14, 13, 12, 11, 6, 5, 4, 10, 8, 9, 15, 0];7085;118
[0, 7, 13, 12, 11, 6, 5, 14, 15, 2, 1, 3, 4, 10, 8, 9];8096;4
[6, 5, 13, 12, 2, 1, 3, 14, 4, 10, 8, 9, 15, 0, 7, 11];7825;44
[1, 3, 4, 10, 8, 9, 0, 7, 14, 5, 6, 11, 13, 12, 15, 2];8022;26
[14, 5, 8, 10, 4, 7, 0, 11, 12, 3, 1, 2, 15, 9, 6, 13];8417;1
[11, 6, 5, 13, 3, 1, 2, 15, 12, 14, 4, 10, 8, 9, 0, 7];7964;25
[14, 7, 0, 9, 8, 10, 4, 5, 6, 11, 12, 3, 1, 2, 15, 13];7930;2
[11, 6, 5, 4, 10, 8, 9, 15, 2, 1, 3, 7, 0, 14, 13, 12];7005;248
[2, 0, 15, 6, 5, 13, 12, 11, 9, 8, 10, 4, 14, 7, 3, 1];7161;164
[12, 7, 3, 1, 2, 0, 15, 11, 9, 8, 10, 4, 14, 5, 6, 13];7028;196
[9, 8, 10, 4, 14, 7, 3, 1, 2, 0, 15, 6, 5, 13, 12, 11];7161;190
[15, 11, 6, 5, 13, 12, 3, 1, 2, 9, 8, 10, 4, 14, 7, 0];7799;162
[4, 3, 1, 2, 15, 11, 6, 13, 12, 0, 7, 14, 5, 9, 8, 10];8121;18
[12, 13, 14, 5, 6, 11, 15, 0, 7, 4, 10, 8, 9, 2, 1, 3];8080;12
[15, 2, 1, 3, 4, 10, 8, 9, 11, 12, 0, 7, 14, 5, 6, 13];8061;46
[12, 13, 14, 5, 6, 9, 8, 10, 4, 7, 3, 1, 2, 0, 15, 11];7222;134
[11, 12, 13, 0, 7, 14, 4, 3, 1, 2, 15, 8, 10, 5, 6, 9];8551;2
[8, 10, 4, 7, 3, 1, 2, 0, 15, 11, 6, 5, 14, 13, 12, 9];7443;27
[8, 10, 4, 14, 13, 5, 6, 9, 11, 12, 15, 0, 7, 3, 1, 2];7452;49
[7, 0, 9, 11, 13, 12, 15, 1, 2, 8, 10, 4, 5, 6, 14, 3];8602;1
[8, 10, 4, 14, 5, 6, 11, 13, 12, 15, 2, 1, 3, 7, 0, 9];6939;363
[8, 9, 2, 1, 15, 6, 5, 13, 12, 11, 0, 7, 3, 14, 4, 10];8014;43
[6, 13, 12, 0, 7, 3, 14, 5, 4, 10, 8, 2, 1, 15, 11, 9];8575;2
[14, 7, 0, 15, 12, 13, 5, 6, 11, 3, 1, 2, 9, 8, 10, 4];7835;49
[0, 7, 3, 1, 2, 15, 11, 6, 9, 8, 10, 4, 14, 5, 13, 12];7001;222
[5, 14, 4, 10, 8, 15, 0, 7, 3, 1, 2, 12, 13, 11, 9, 6];7411;14
[0, 15, 13, 14, 4, 10, 8, 9, 5, 6, 11, 12, 7, 3, 1, 2];7021;125
[7, 0, 13, 12, 15, 2, 1, 3, 11, 6, 9, 8, 10, 4, 5, 14];7915;3
[10, 8, 5, 14, 13, 12, 15, 1, 2, 9, 6, 11, 0, 7, 3, 4];8509;1
[15, 12, 13, 5, 6, 11, 7, 3, 0, 9, 8, 10, 4, 14, 1, 2];8185;12
[1, 3, 7, 0, 4, 10, 8, 9, 13, 14, 5, 6, 11, 12, 15, 2];7406;12
[12, 13, 5, 6, 2, 1, 14, 4, 10, 8, 9, 11, 15, 0, 7, 3];8320;4
[4, 5, 6, 13, 14, 3, 7, 0, 12, 11, 15, 1, 2, 9, 8, 10];8016;10
[11, 9, 6, 5, 13, 12, 3, 1, 2, 8, 10, 4, 14, 7, 0, 15];8241;8
[9, 0, 7, 13, 12, 11, 15, 2, 1, 3, 6, 5, 14, 4, 10, 8];7863;17
[15, 2, 1, 3, 13, 5, 6, 0, 7, 14, 4, 10, 8, 9, 11, 12];7936;32
[7, 14, 5, 8, 10, 4, 3, 1, 2, 15, 12, 13, 11, 6, 9, 0];8337;1
[12, 11, 6, 9, 8, 10, 4, 5, 2, 1, 3, 14, 13, 7, 0, 15];8129;2
[10, 8, 9, 2, 1, 15, 12, 11, 6, 5, 13, 0, 7, 3, 14, 4];7953;24
[8, 10, 4, 3, 1, 2, 15, 12, 13, 14, 5, 6, 11, 7, 0, 9];8049;9
[4, 1, 2, 6, 5, 14, 13, 12, 11, 7, 3, 0, 15, 9, 8, 10];8571;1
[0, 13, 12, 11, 6, 9, 15, 2, 1, 3, 4, 10, 8, 5, 14, 7];8257;4
[2, 15, 13, 14, 3, 7, 0, 12, 11, 6, 5, 9, 8, 10, 4, 1];8357;1
[0, 7, 13, 12, 15, 2, 1, 3, 14, 4, 10, 8, 9, 5, 6, 11];7649;115
[12, 3, 7, 0, 15, 11, 9, 8, 10, 4, 1, 2, 6, 5, 14, 13];8602;1
[5, 14, 4, 10, 8, 2, 1, 3, 11, 6, 9, 15, 0, 7, 12, 13];8374;3
[9, 0, 7, 12, 11, 15, 2, 1, 3, 4, 10, 8, 5, 14, 13, 6];8382;2
[0, 7, 2, 1, 3, 4, 10, 8, 9, 5, 14, 13, 12, 6, 11, 15];7508;4
[9, 11, 3, 1, 2, 15, 13, 14, 5, 6, 12, 0, 7, 4, 10, 8];8231;1
[5, 14, 13, 12, 7, 0, 15, 11, 9, 8, 10, 4, 3, 1, 2, 6];8186;9
[13, 12, 3, 1, 2, 15, 9, 8, 10, 4, 5, 14, 7, 0, 11, 6];7991;5
[11, 9, 8, 10, 4, 5, 6, 12, 15, 2, 1, 3, 14, 13, 7, 0];7904;3
[14, 7, 0, 12, 13, 3, 1, 2, 15, 11, 6, 5, 9, 8, 10, 4];7685;27
[10, 8, 9, 0, 7, 12, 13, 6, 11, 15, 2, 1, 3, 14, 5, 4];7980;10
[6, 3, 1, 2, 15, 13, 14, 7, 0, 12, 11, 9, 8, 10, 4, 5];8023;2
[3, 7, 9, 8, 10, 4, 14, 1, 2, 6, 5, 13, 12, 11, 15, 0];8362;1
[14, 3, 1, 2, 7, 0, 15, 11, 12, 13, 6, 9, 8, 10, 4, 5];7166;32
[14, 0, 15, 11, 12, 13, 5, 6, 2, 1, 3, 7, 9, 8, 10, 4];8016;3
[10, 4, 14, 5, 6, 7, 3, 1, 2, 0, 15, 12, 13, 11, 9, 8];7128;50
[11, 15, 0, 2, 1, 3, 7, 4, 10, 8, 9, 5, 14, 13, 12, 6];7523;1
[13, 12, 15, 0, 7, 2, 1, 3, 14, 6, 5, 4, 10, 8, 9, 11];7180;54
[15, 2, 1, 3, 4, 14, 7, 0, 13, 12, 11, 9, 8, 10, 5, 6];8250;13
[12, 13, 5, 14, 15, 2, 1, 3, 4, 10, 8, 9, 6, 11, 0, 7];8190;4
[2, 9, 8, 10, 4, 14, 3, 7, 0, 13, 5, 6, 11, 12, 15, 1];7953;20
[6, 9, 11, 12, 0, 7, 3, 1, 2, 15, 8, 10, 4, 14, 13, 5];7405;32
[15, 2, 1, 3, 7, 0, 13, 14, 5, 6, 12, 11, 9, 8, 10, 4];7438;14
[7, 3, 1, 2, 0, 15, 11, 6, 5, 14, 4, 10, 8, 9, 12, 13];7090;11
[15, 11, 9, 8, 10, 4, 7, 3, 1, 2, 6, 5, 14, 13, 12, 0];8230;5
[1, 3, 7, 0, 15, 12, 11, 6, 5, 13, 14, 4, 10, 8, 9, 2];7010;223
[7, 14, 6, 9, 5, 4, 10, 8, 2, 1, 3, 13, 12, 11, 15, 0];8415;2
[15, 2, 1, 3, 13, 12, 11, 6, 5, 9, 8, 10, 4, 14, 7, 0];7038;77
[12, 13, 11, 9, 8, 10, 5, 6, 0, 7, 14, 4, 3, 1, 2, 15];8278;4
[14, 3, 1, 2, 6, 5, 4, 10, 8, 9, 11, 15, 0, 7, 12, 13];7982;12
[12, 2, 1, 3, 4, 10, 8, 9, 15, 0, 7, 13, 14, 5, 6, 11];8084;12
[1, 2, 15, 12, 13, 5, 6, 11, 7, 3, 0, 9, 8, 10, 4, 14];8185;8
[9, 6, 2, 1, 3, 7, 0, 15, 11, 12, 13, 5, 14, 4, 10, 8];7179;56
[12, 11, 7, 0, 15, 9, 8, 10, 4, 5, 6, 2, 1, 3, 14, 13];7949;16
[15, 2, 1, 3, 14, 4, 10, 8, 9, 0, 7, 11, 6, 5, 13, 12];7792;50
[8, 9, 5, 14, 13, 12, 6, 11, 15, 0, 2, 1, 3, 7, 4, 10];7523;4
